time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795751797493627,0.0,0.0,0.0,0.0,0.0,0.0
1713795751804681488,0.0,0.0,0.0,0.0,0.0,0.0
1713795751817951192,0.0,0.0,0.0,0.0,0.0,0.0
1713795751829458293,0.0,0.0,0.0,0.0,0.0,0.0
1713795751836359942,0.0,0.0,0.0,0.0,0.0,0.0
1713795751847358034,0.0,0.0,0.0,0.0,0.0,0.0
1713795751858262608,0.0,0.0,0.0,0.0,0.0,0.0
1713795751867835644,0.0,0.0,0.0,0.0,0.0,0.0
1713795751875892759,0.0,0.0,0.0,0.0,0.0,0.0
1713795751886895740,0.0,0.0,0.0,0.0,0.0,0.0
1713795751896819244,0.0,0.0,0.0,0.0,0.0,0.47
1713795751906740093,0.0,0.0,0.0,0.0,0.0,0.58
1713795751916701730,0.0,0.0,0.0,0.0,0.0,0.58
1713795751928888254,0.0,0.0,0.0,0.0,0.0,0.58
1713795751941313359,0.0,0.0,0.0,0.0,0.0,0.81
1713795751947952122,0.0,0.0,0.0,0.0,0.0,0.81
1713795751954471944,0.0,0.0,0.0,0.0,0.0,0.81
1713795751964835871,0.0,0.0,0.0,0.0,0.0,0.81
1713795751976494948,0.0,0.0,0.0,0.0,0.0,0.81
1713795751988125460,0.0,0.0,0.0,0.0,0.0,1.36
1713795751995753536,0.0,0.0,0.0,0.0,0.0,1.56
1713795752007106915,0.0,0.0,0.0,0.0,0.0,1.56
1713795752016724160,0.0,0.0,0.0,0.0,0.0,1.56
1713795752025830930,0.0,0.0,0.0,0.0,0.0,1.56
1713795752040672917,0.0,0.0,0.0,0.0,0.0,1.56
1713795752051369222,0.0,0.0,0.0,0.0,0.0,1.86
1713795752056742238,0.0,0.0,0.0,0.0,0.0,1.86
1713795752066283914,0.0,0.0,0.0,0.0,0.0,1.86
1713795752076029250,0.0,0.0,0.0,0.0,0.0,1.86
1713795752086151803,0.0,0.0,0.0,0.0,0.0,1.86
1713795752099109243,0.0,0.0,0.0,0.0,0.0,2.02
1713795752107682699,0.0,0.0,0.0,0.0,0.0,2.06
1713795752115250361,0.0,0.0,0.0,0.0,0.0,2.06
1713795752126037181,0.0,0.0,0.0,0.0,0.0,2.06
1713795752139298713,0.0,0.0,0.0,0.0,0.0,2.06
1713795752146474561,0.0,0.0,0.0,0.0,0.0,2.06
1713795752157954423,0.0,0.0,0.0,0.0,0.0,2.07
1713795752168619369,0.0,0.0,0.0,0.0,0.0,2.07
1713795752175472616,0.0,0.0,0.0,0.0,0.0,2.07
1713795752188898347,0.0,0.0,0.0,0.0,0.0,2.07
1713795752197051634,0.0,0.0,0.0,0.0,0.0,2.07
1713795752205060488,0.0,0.0,0.0,0.0,0.0,2.07
1713795752216876500,0.0,0.0,0.0,0.0,0.0,2.07
1713795752226093411,0.0,0.0,0.0,0.0,0.0,2.07
1713795752236541008,0.0,0.0,0.0,0.0,0.0,2.07
1713795752247156436,0.0,0.0,0.0,0.0,0.0,2.07
1713795752256500669,0.0,0.0,0.0,0.0,0.0,2.07
1713795752268621541,0.0,0.0,0.0,0.0,0.0,2.07
1713795752277111187,0.0,0.0,0.0,0.0,0.0,2.07
1713795752287610747,0.0,0.0,0.0,0.0,0.0,2.07
1713795752297138594,0.0,0.0,0.0,0.0,0.0,2.07
1713795752306245714,0.0,0.0,0.0,0.0,0.0,2.02
