time,x,y,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B,yaw,v_x,v_y,w,a_x,a_y
1713795788.2316601,5.250442287185844,1.1518987852847784,2.698532603196928,1.047879202729018,5.572860672436643,5.295006176764125,-0.810127084541159,0.7316851223921442,0.0,0.0007625223718549567,-0.9875142412898015,-2.518219413541658
1713795788.25166,5.244422409423463,1.1735506673964184,2.715961024811977,1.0271922049623954,5.573119772264005,5.290623954452801,-0.8097973734148896,0.7520259751394832,0.0,0.005023332957600966,-0.9817681611259275,-2.511563540868508
1713795788.27166,5.264316282100669,1.1494759074316105,2.671739122794686,1.0183478245589372,5.582946861601181,5.292589372320236,-0.8100667248449265,0.825722866629763,0.0,0.006237018802820477,-0.9760220809620535,-2.504907668195358
1713795788.29166,5.284210154777875,1.1254011474668026,2.627517220777395,1.009503444155479,5.592773950938357,5.2945547901876715,-0.8104932173576568,0.8007462215431831,0.0,0.0037114114146161625,-0.9702760007981794,-2.498251795522208
1713795788.31166,5.3041040274550815,1.1013263875019947,2.5832953187601038,1.0006590637520207,5.602601040275532,5.296520208055107,-0.8108106745986442,0.6340387005177327,0.0,-0.0009954522751966185,-0.9645299206343054,-2.491595922849058
1713795788.33166,5.323997900132287,1.0772516275371868,2.539073416742813,0.9918146833485626,5.6124281296127085,5.298485625922542,-0.8110756372017869,0.6263582062810457,0.0,-0.000649677739219149,-0.9587838404704314,-2.484940050175908
1713795788.35166,5.343891772809494,1.053176867572379,2.494851514725522,0.9829703029451043,5.622255218949884,5.300451043789977,-0.8111814296232389,0.648871735698152,0.0,-0.006825420095326715,-0.9530377603065574,-2.4782841775027578
1713795788.37166,5.3637856454867,1.029102107607571,2.4506296127082305,0.9741259225416461,5.6320823082870595,5.302416461657412,-0.8112520045689768,0.7033110615807457,0.0,0.0013725899025550528,-0.9472916801426834,-2.4716283048296077
1713795788.39166,5.383679518163906,1.0050273476427631,2.4064077106909396,0.965281542138188,5.641909397624236,5.304381879524848,-0.8113987175314744,0.6975612647854107,0.0,0.013394063370375147,-0.9415455999788094,-2.4649724321564577
1713795788.41166,5.403573390841112,0.9809525876779551,2.3621858086736487,0.9564371617347297,5.651736486961411,5.306347297392283,-0.8116691333281099,0.6828383522257371,0.0,0.008322690396857183,-0.9357995198149354,-2.4583165594833076
1713795788.43166,5.423467263518319,0.9568778277131472,2.3179639066563573,0.9475927813312714,5.661563576298587,5.308312715259718,-0.8120491243164885,0.6473939568446047,0.0,0.005817982244951194,-0.9300534396510614,-2.4516606868101576
1713795788.45166,5.439397565707419,0.9387399595126396,2.282937538812145,0.9384612891936382,5.669860117199422,5.309020820395952,-0.8125004482167482,0.5870767230099342,0.0,0.0007510078560339906,-0.9243073594871873,-2.4450048141370075
