,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
6037,1713795798.135,1.0180417147221301,1.3911999546502325,1.2554757130599647,-0.37066926739745854,-0.016358123049745137,2.2662907475590464,-0.008686926189877299,-0.007047195264057998,1.6483076077634806
6038,1713795798.1454854,1.0102675261180583,1.3908561368121288,1.3026489569244895,-0.37085142948528954,-0.01650590809929159,2.2669698369052234,-0.008686923852291894,-0.007047195163939925,1.6126674193377915
6039,1713795798.157,1.0017259162957854,1.3904750817507134,1.3008541485733665,-0.3710514816330567,-0.016668201714878,2.3026470836241297,-0.008686922460820186,-0.0070471962461110035,1.6111898066257468
6040,1713795798.1654568,0.9954495534246904,1.39019266181577,1.3391891700278964,-0.37119839705874447,-0.01678739342428906,2.279952620282563,-0.00868692008120198,-0.007047196142757662,1.5617525154149101
6041,1713795798.1855023,0.9805643398663371,1.3895168063300647,1.430311076625181,-0.3715466543718512,-0.01706992237930547,2.308384868479709,-0.008686917641884487,-0.00704719603610013,1.522495479281757
6042,1713795798.195,0.9735059225410875,1.3891919195807831,1.38910823121001,-0.3717116631708921,-0.017203791601813123,2.3351095140185256,-0.008686916417210056,-0.007047200215433215,1.5203787002867046
6043,1713795798.2054994,0.9656994147212885,1.3888298813393103,1.4375323308642356,-0.3718940688424872,-0.017351774973542105,2.321117700209355,-0.00868691394461517,-0.007047200105422532,1.4725837248266611
6044,1713795798.2130806,1.0473115998750457,1.4031030974230316,1.4728108405265807,-0.3042020749057399,-0.006158720536571646,2.343445703750366,0.005676864528335235,-0.00465409349380871,1.4725837248266611
6045,1713795798.218,1.0443188221282178,1.4030423915065584,1.425745345800851,-0.30414621862994295,-0.006204510738802729,2.3563149161261983,0.0056768677459048235,-0.004654093918648396,1.4709895965117683
6046,1713795798.2254963,1.039759167427342,1.4029491075822054,1.461806667729275,-0.30406109951395544,-0.006274288092372459,2.4301640136491987,0.005676869525789006,-0.004654093884026219,1.5142397484617705
6047,1713795798.232,1.0358042919143136,1.4028672949235892,1.4472599105885382,-0.30398725228721424,-0.006334831828449831,2.4489238706016505,0.005676873173391608,-0.004654097858569431,1.5133771119224055
6048,1713795798.245492,1.0276026166316106,1.4026955103678,1.5136571925078213,-0.30383406141382746,-0.006460416633255729,2.492211037411151,0.005676874986048777,-0.004654097822345756,1.5154768803477126
6049,1713795798.252,1.0236480876378575,1.402611223431017,1.494551197429955,-0.30376016369878833,-0.00652099445529344,2.510679121572241,0.005676879934272486,-0.0046540970631111615,1.5144565439750781
6050,1713795798.2654495,1.015478315986688,1.4024349743212332,1.561993728882535,-0.30360745434743686,-0.006646184205568099,2.5307184284300233,0.0056768817744574694,-0.00465409702525342,1.4964033950250224
6051,1713795798.274,1.01028679804652,1.4023209781524848,1.5457493828100444,-0.3035103734674322,-0.006725774742418204,2.5546762007934896,0.005676883025397825,-0.0046540983588285985,1.4951207927889834
6052,1713795798.2854896,1.0033131078992588,1.4021658105200614,1.6056473487179879,-0.30337991497078926,-0.00683272230950274,2.6478731778808466,0.00567688490459687,-0.004654098319294096,1.547141047190603
6053,1713795798.298,0.9957231057616238,1.4019941181605011,1.6016492351195986,-0.30323787037030986,-0.006949176845500719,2.684425308026831,0.005676887089708281,-0.00465410139723326,1.5453861483663898
6054,1713795798.3054872,0.9911827087458385,1.4018897995726463,1.6388022188921578,-0.3031528560244873,-0.007018867731267197,2.492668235218667,0.005676888975348622,-0.0046541013559895745,1.3538753918552795
6055,1713795798.3255184,0.9790399516176195,1.401606739335118,1.7378686732293767,-0.3029254180422716,-0.007205322148069182,2.496836697471921,0.005676890877750853,-0.004654101312997896,1.299832259903554
6056,1713795798.331,0.9757190210328507,1.401527603279962,1.668798543988001,-0.30286317271278573,-0.007256349332548353,2.508866240749608,0.005676896240418937,-0.004654102998377986,1.2980576492129694
6057,1713795798.345503,0.9669353691348905,1.4013161467542843,1.7407098325167587,-0.30269850043885643,-0.007391346074902382,2.487501314972045,0.005676898178232389,-0.004654102953606163,1.2386703309096212
6058,1713795798.351,0.963607688750873,1.401234742687841,1.699206728200906,-0.3026360838029339,-0.0074425196535022305,2.4995212960510336,0.005676901970588456,-0.004654107877952933,1.2373218663280878
6059,1713795798.3655014,0.954831633863384,1.4010179111783925,1.7705947892130314,-0.302471430168279,-0.007577500994497316,2.4615962882754294,0.005676903937828499,-0.0046541078313629275,1.16612409892342
6060,1713795798.371,0.9515054418517431,1.4009344380189677,1.7348266369153678,-0.30240899176910147,-0.007628684421602551,2.4729071678507655,0.005676909731529511,-0.004654108446031983,1.1648534956851946
6061,1713795798.3854916,0.9427418839218283,1.4007123577043057,1.8051677404083466,-0.30224444890947344,-0.007763574781422124,2.421716768544697,0.005676911690879606,-0.004654108397587555,1.0850246035981024
6062,1713795798.393,0.9382035359391122,1.4005955127510097,1.7779558266802948,-0.30215919628549187,-0.007833464271852372,2.4363123816253593,0.005676915329279168,-0.004654108992914462,1.083619635129515
6063,1713795798.4052925,1.014652958156476,1.4358474213444639,1.838016912687079,-0.2372718085008802,0.019413526806034358,2.462953438052191,0.01940312282754652,0.0011463711233269521,1.083619635129515
6064,1713795798.40544,1.014582927519889,1.4358531513044648,1.8360043853033812,-0.23726607575920863,0.019413864727456907,2.280959404340413,0.019403124177594357,0.0011463710176688568,0.9397480541501944
6065,1713795798.416,1.0095741287247348,1.4362632900800925,1.8143644730785884,-0.23685628747942444,0.019438070802226138,2.2992141496886047,0.019403125928271533,0.0011463671206674076,0.9384050610493678
6066,1713795798.4254816,1.005084290283524,1.4366320036123954,1.8562940835046897,-0.23648833362511718,0.01945980929497377,2.1953333528150014,0.01940312731513411,0.001146367013029157,0.8370442256387424
6067,1713795798.437,0.9996388942381979,1.4370804495807736,1.8523322657222916,-0.23604134192459314,0.01948621598411432,2.2131618649812927,0.01940312946891088,0.0011463653202351187,0.8358514887446903
6068,1713795798.4455042,0.9956256373200079,1.4374119597582904,1.888783862033391,-0.23571132168042683,0.0195057132521097,2.140100690893778,0.019403130869221245,0.0011463652106027792,0.760488841411989
6069,1713795798.4655175,0.9861986738933723,1.4381931673246562,1.9755527152326882,-0.23493467305810178,0.019551597958030884,2.2006990233804986,0.01940313229628749,0.001146365098962916,0.7925098764019689
6070,1713795798.469,0.9845625528874034,1.4383293594899216,1.9174148937723385,-0.23479952416027455,0.019559578688779538,2.2046424081363942,0.01940313462584691,0.0011463620506181964,0.7913088675009086
6071,1713795798.4854815,0.9768281770921226,1.4389744090989336,1.9904310009138806,-0.23415993643398608,0.01959736551116916,2.2371396049943133,0.01940313607118975,0.0011463619369604596,0.7977285920597044
6072,1713795798.491,0.9742443761435742,1.4391907362687233,1.9576335644603813,-0.2339457830207859,0.019610014813053814,2.244551053838213,0.019403138756762032,0.0011463596527299057,0.7966235361321459
6073,1713795798.5055296,0.96745014913095,1.439760833483396,2.02287951156185,-0.2333819332070301,0.019643326859113273,2.2598532418593216,0.01940314018702623,0.001146359537030048,0.7890369159671963
6074,1713795798.514,0.9634979135232944,1.440093682377055,2.0032145885572836,-0.23305323080836784,0.019662740675072263,2.2716280869256753,0.01940314147411944,0.0011463548016227667,0.7877180670740478
6075,1713795798.5255036,0.958138537338963,1.4405462222098426,2.053634820018263,-0.23260680892887342,0.01968911481142461,2.175655297827306,0.01940314293266623,0.0011463546838728182,0.6799302604978729
6076,1713795798.534,0.954187351773418,1.440880872003118,2.037788787150554,-0.2322770976000421,0.019708591073123467,2.1858231104852384,0.019403144508762068,0.0011463522268316424,0.6787351393535219
6077,1713795798.5455427,0.9488276856675646,1.4413360089921408,2.0868276801713335,-0.23182915815214683,0.019735054786586617,2.110966295665912,0.01940314599892707,0.001146352107008675,0.594315606539777
6078,1713795798.556,0.9439812056091147,1.4417488851550202,2.0791428300140864,-0.23142334663147265,0.01975903205464919,2.1219399570624655,0.019403148512263744,0.0011463534698785362,0.593044449708533
6079,1713795798.5655074,0.9395824862375595,1.4421247032224092,2.118567187958988,-0.2310543926169164,0.019780829258343062,2.070309701367561,0.019403150002042683,0.0011463533479743838,0.5349152702020569
6080,1713795798.5855436,0.9303313658566167,1.4429178292351124,2.200643904857048,-0.23027685456289707,0.01982676590844296,2.051700387658685,0.019403151524342205,0.0011463532239671577,0.4905732485316042
6081,1713795798.591,0.9278189593406319,1.4431342317871991,2.1482164929665473,-0.23006510435617553,0.01983927784323757,2.055293579415027,0.01940315566261177,0.0011463546178142425,0.4891064904399925
6082,1713795798.605487,0.9211571161843962,1.443709296410264,2.208670029784365,-0.22950290966727946,0.01987249184930803,2.1108133411130026,0.01940315720422524,0.0011463544916984487,0.5314764678873742
6083,1713795798.611,0.9186272311099258,1.4439284451210284,2.1781021493569566,-0.2292889674113601,0.01988513450469333,2.115415071269565,0.019403160740864712,0.0011463567103838011,0.5303817973535077
6084,1713795798.611667,0.9909079861300538,1.4852711232542237,2.180923742921931,-0.17365791963262198,0.05153704244113473,2.116122448649554,0.0311891323890812,0.007854914081203096,0.5303817973535077
6085,1713795798.6255507,0.986091926439948,1.486703699786345,2.239771880704801,-0.17279186615512585,0.05175515380757147,2.1300747250862964,0.031189133412643313,0.007854913795369374,0.5297342367996953
6086,1713795798.633,0.983519354029586,1.4874751989821058,2.21171140143428,-0.17232719639167104,0.05187217752340131,2.1366470734143155,0.031189137177083343,0.007854912874511052,0.5287107926370337
6087,1713795798.6455176,0.9792099661613618,1.4887750689348993,2.264825947195693,-0.17154636012324462,0.05206882702992074,2.1224475502480504,0.031189138202728558,0.007854912582314338,0.5050239163932795
6088,1713795798.655,0.9759594340678182,1.4897632494936064,2.2515600672791276,-0.17095486458880915,0.05221779608037756,2.1305937900742276,0.031189138821452952,0.007854914530470785,0.503909328727992
6089,1713795798.6654775,0.972380486311423,1.4908583395633777,2.295469917693532,-0.17030128913151904,0.052382395225723334,2.09163239097444,0.031189139857409457,0.00785491423183765,0.4601941591915989
6090,1713795798.679,0.9677804305482667,1.4922764473549395,2.29477889600606,-0.16945778400733133,0.05259483286432523,2.1023168494088433,0.031189141351152187,0.007854916780967294,0.4587527462197711
6091,1713795798.685451,0.9655953424283856,1.4929553657918668,2.320200824283576,-0.16905536922509015,0.052696177749120776,1.9828507555179522,0.03118914238452633,0.007854916475818381,0.34645566340882117
6092,1713795798.691,0.9637201429851613,1.4935404315786724,2.300601266328929,-0.16870923250327452,0.05278336511613784,1.9858659888309997,0.031189144317569785,0.007854927527206668,0.34574220472409894
6093,1713795798.7054763,0.9588421107777221,1.495070292570279,2.355996507326353,-0.16780622119311636,0.053010784356505726,1.8704803708229463,0.031189145386111276,0.007854927215443043,0.23206414445703583
6094,1713795798.712,0.9566540366785063,1.4957622778020336,2.3322578948197044,-0.16739928336728113,0.05311328539290003,1.8723217670287773,0.031189150174171003,0.00785493956515488,0.23111196367553652
6095,1713795798.7254791,0.9521468780794564,1.4971955569118123,2.3820088218515703,-0.1665584671379215,0.053325041156480714,1.835560572808363,0.031189151255357102,0.007854939246706327,0.19184043361886458
6096,1713795798.732,0.9499759540580066,1.4978913632999886,2.3540659860474666,-0.1661516975037249,0.05342750267504979,1.836759248233161,0.03118915244165929,0.00785495262203729,0.19079859471866756
6097,1713795798.745531,0.9454852797446391,1.4993386525090708,2.402056795010648,-0.16530765401989916,0.05364007153967365,1.744629596453276,0.031189153505959345,0.007854952296808645,0.10137971977354764
